id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum,probe_alt
104,YDUY,29,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 29. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) (Değişik:RG-22/8/2015-29453) (Değişik ibare:RG-23/12/2022-32052) Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu i",değişiklik: 2022,P6_degismedi,ONAY_BEKLIYOR,P6_degismedi
107,YDUY,23,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 26. maddesine göre yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır.",YANLIS,"Yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır",,P5_maddeshift(23→26),ONAY_BEKLIYOR,P5_maddeshift
108,ISGRISK,17,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'ne göre işverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir.",YANLIS,"İşverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir.",,P5_lawshuffle(ISGRISK→YDUY),ONAY_BEKLIYOR,P5_lawshuffle
109,TBDY,5.3.2.1,P5_capraz,"TBDY 2018'in 17.4.1.3 numaralı bendine göre binanın taşıyıcı sistemini oluşturan kolon, kiriş ve betonarme perdelerde doğrusal olmayan davranış modeli olarak yayılı plastik davranış modelleri de kullanılabilir.",YANLIS,"Binanın taşıyıcı sistemini oluşturan kolon, kiriş ve betonarme perdelerde doğrusal olmayan davranış modeli olarak yayılı plastik davranış modelleri de kullanılabilir.",,P5_maddeshift(5.3.2.1→17.4.1.3),ONAY_BEKLIYOR,P5_maddeshift
110,ISGRISK,5,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'ne göre risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz.",YANLIS,"Risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz.",,P5_lawshuffle(ISGRISK→YDUY),ONAY_BEKLIYOR,P5_lawshuffle
112,TBDY,5.7.3.2,P1_dogrudan,"TBDY 2018'in 5.7.3.2 numaralı bendine göre viskoz sönüm matrisi, Rayleigh Orantılı Sönüm Matrisi veya Modal Sönüm Matrisi olarak oluşturulacaktır.",DOGRU,"Viskoz sönüm matrisi, Rayleigh Orantılı Sönüm Matrisi veya Modal Sönüm Matrisi olarak oluşturulacaktır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
113,YDUY,14,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 14. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Yapı denetimi kuruluşu, denetimini üstlendiği proje ve yapım işlerinde, Kanun ve bu Yönetmelik hükümleri ile belirlenmiş görevlerini denetçi mimar ve denetçi mühendisler eliyle yürütür. Denetçi mi",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR,P6_degismedi
115,TBDY,17.2.4,P1_dogrudan,"TBDY 2018'in 17.2.4 numaralı bendine göre kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",DOGRU,"Kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
117,TBDY,15.5.2.4,P5_capraz,"TBDY 2018'in 4.7.2.4 numaralı bendine göre güçlendirilmiş bölme duvarlarının etki/kapasite oranı, deprem etkisi altında hesaplanan kesme kuvve tinin kesme kuvveti dayanımına oranıdır.",YANLIS,"Güçlendirilmiş bölme duvarlarının etki/kapasite oranı, deprem etkisi altında hesaplanan kesme kuvve tinin kesme kuvveti dayanımına oranıdır.",,P5_maddeshift(15.5.2.4→4.7.2.4),ONAY_BEKLIYOR,P5_maddeshift
119,TBDY,16.4.1,P1_dogrudan,"TBDY 2018'e göre sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",DOGRU,"Sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
122,TBDY,2.5.2.1,P1_dogrudan,TBDY 2018'in 2.5.2.1 numaralı bendine göre her iki yatay bileşenin ölçeklendirilmesi aynı ölçek katsayıları ile yapılacaktır.,DOGRU,Her iki yatay bileşenin ölçeklendirilmesi aynı ölçek katsayıları ile yapılacaktır.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
123,TBDY,7.2.1.4,P5_capraz,TBDY 2018'in 3.3.3 numaralı bendine göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şekilde kullanılacaktır.,YANLIS,C50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şe,,P5_maddeshift(7.2.1.4→3.3.3),ONAY_BEKLIYOR,P5_maddeshift
124,TBDY,17.4.2.2,P1_dogrudan,TBDY 2018'e göre uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,DOGRU,Uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
126,TBDY,7.2.5.3,P1_dogrudan,TBDY 2018'in 7.2.5.3 numaralı bendine göre özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,DOGRU,Özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
127,TBDY,6.2.3,P1_dogrudan,"TBDY 2018'e göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",DOGRU,"Mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
128,TBDY,16.8.5.4,P1_dogrudan,"TBDY 2018'e göre çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",DOGRU,"Çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
132,TBDY,15.4.13,P1_dogrudan,"TBDY 2018'in 15.4.13 numaralı bendine göre betonarme elemanlarda kenetlenme veya bindirme boyunun yetersiz olması durumunda kesit kapasite momentinin hesabında ilgili donatının akma gerilmesi, kenetlenme veya bindirme boyundaki eksikliği oranında azaltılacaktır.",DOGRU,"Betonarme elemanlarda kenetlenme veya bindirme boyunun yetersiz olması durumunda kesit kapasite momentinin hesabında ilgili donatının akma gerilmesi, kenetlenme veya bindirme boyundaki eksikliği oranında azaltılacaktır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
133,TBDY,17.2.4,P5_capraz,"TBDY 2018'in 7.2.1.3 numaralı bendine göre kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",YANLIS,"Kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",,P5_maddeshift(17.2.4→7.2.1.3),ONAY_BEKLIYOR,P5_maddeshift
136,YDUY,12,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 12. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,(1) (Değişik:RG-8/7/2019-30825 Mükerrer) Yapı denetim kuruluşuna izin belgesi alabilmek için aşağıdaki şartlar sağlanır: a) Kuruluşun ödenmiş sermayesinin nama yazılı hisselerinin tamamı mimar veya in,değişiklik: 2023,P6_degismedi,ONAY_BEKLIYOR,P6_degismedi
139,YDUY,23,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 23. maddesine göre yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır.",DOGRU,"Yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
140,TBDY,8.3.1.7,P5_capraz,TBDY 2018'in 16.7.3.2 numaralı bendine göre aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,YANLIS,Aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,,P5_maddeshift(8.3.1.7→16.7.3.2),ONAY_BEKLIYOR,P5_maddeshift
143,YDUY,9,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir.",DOGRU,"Şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
144,TBDY,4.5.3.2,P2_sayisal,"TBDY 2018'e göre dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 12 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",YANLIS,"Dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 6 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",,P2_swap(6→12),ONAY_BEKLIYOR,P2_swap
148,TBDY,10.2.3.2,P2_sayisal,"TBDY 2018'e göre kopma birim uzama oranı minimum % 20 olan malzemeler normal sünek malzeme, kopma birim uzama oranı minimum %16 olan malzemeler yüksek sünek malzeme olarak adlandırılırlar.",YANLIS,"Kopma birim uzama oranı minimum % 10 olan malzemeler normal sünek malzeme, kopma birim uzama oranı minimum %16 olan malzemeler yüksek sünek malzeme olarak adlandırılırlar.",,P2_swap(10→20),ONAY_BEKLIYOR,P2_swap
152,ISGRISK,12,P1_dogrudan,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre yapılmış olan risk değerlendirmesi; tehlike sınıfına göre çok tehlikeli, tehlikeli ve az tehlikeli işyerlerinde sırasıyla en geç iki, dört ve altı yılda bir yenilenir.",DOGRU,"Yapılmış olan risk değerlendirmesi; tehlike sınıfına göre çok tehlikeli, tehlikeli ve az tehlikeli işyerlerinde sırasıyla en geç iki, dört ve altı yılda bir yenilenir.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
159,TBDY,2.1.2,P2_sayisal,"TBDY 2018'e göre deprem Yer Hareketi Düzeyi-6 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",,P2_swap(3→6),ONAY_BEKLIYOR,P2_swap
161,TBDY,7.6.3.3,P1_dogrudan,"TBDY 2018'in 7.6.3.3 numaralı bendine göre uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",DOGRU,"Uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
164,TBDY,9.2.8.1,P5_capraz,"TBDY 2018'in 5.4 numaralı bendine göre betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir.",YANLIS,"Betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir.",,P5_maddeshift(9.2.8.1→5.4),ONAY_BEKLIYOR,P5_maddeshift
167,TBDY,8.3.1.6,P5_capraz,TBDY 2018'in 4.3.4.5 numaralı bendine göre aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,YANLIS,Aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,,P5_maddeshift(8.3.1.6→4.3.4.5),ONAY_BEKLIYOR,P5_maddeshift
170,YDUY,9,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 9. maddesinde 2020 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-5/2/2013-28550) Her türlü yapı inşası işinin Bakanlıkça yetki belgesi verilmiş gerçek veya tüzel kişiler tarafından üstlenilmesi mecburidir. Yapı müteahhidi, şahsen sahip olduğu teknik",değişiklik: 2020,P6_yil,ONAY_BEKLIYOR,P6_yil
172,TBDY,8.3.1.6,P1_dogrudan,TBDY 2018'in 8.3.1.6 numaralı bendine göre aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,DOGRU,Aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
173,YDUY,12,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'nin 17. maddesine göre yapı denetim kuruluşunun faaliyet göstereceği ilde en az 100 m2 alana sahip tam donanımlı bir ofisinin bulunması zorunludur.,YANLIS,Yapı denetim kuruluşunun faaliyet göstereceği ilde en az 100 m2 alana sahip tam donanımlı bir ofisinin bulunması zorunludur.,,P5_maddeshift(12→17),ONAY_BEKLIYOR,P5_maddeshift
174,YDUY,0,P3_anakronizm,Yapı Denetimi Uygulama Yönetmeliği 2003 yılında Resmî Gazete'de yayımlanmıştır.,YANLIS,yıl: 2008,,P3_yil,ONAY_BEKLIYOR,P3_yil
178,YDUY,12,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesine göre izin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında haklarında Bakanlıkça gerekli işlemler yürütülür.",YANLIS,"İzin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında h",,P5_maddeshift(12→19),ONAY_BEKLIYOR,P5_maddeshift
182,TBDY,7.2.5.3,P5_capraz,TBDY 2018'in 4.8.5.2 numaralı bendine göre özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,YANLIS,Özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,,P5_maddeshift(7.2.5.3→4.8.5.2),ONAY_BEKLIYOR,P5_maddeshift
184,YDUY,7,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 7. maddesinde 2012 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-14/4/2012-28264) Proje müellifi, yapı ruhsatına esas olan uygulama projelerini ve zemin etüdü raporları da dâhil olmak üzere her türlü etüde dayalı çalışmaları mevzuata uygun olarak ya",değişiklik: 2012,P6_yil,ONAY_BEKLIYOR,P6_yil
185,TBDY,17.5.2.1,P1_dogrudan,"TBDY 2018'e göre kiriş üzerinde bölme duvar varsa, bölme duvarın yarattığı yayılı yük kiriş yüküne (w) yüküne ilgili yük katsayısı göz önüne alınarak eklenir.",DOGRU,"Kiriş üzerinde bölme duvar varsa, bölme duvarın yarattığı yayılı yük kiriş yüküne (w) yüküne ilgili yük katsayısı göz önüne alınarak eklenir.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
186,YDUY,29,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 36. maddesine göre kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı denetim hizmet bedeli ödenmez.",YANLIS,"Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu işe ilişkin denetimsizliğin başladığı seviye tespit edilir ve bu seviyeden sonraki yapı de",,P5_maddeshift(29→36),ONAY_BEKLIYOR,P5_maddeshift
187,YDUY,29,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 29. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-22/8/2015-29453) (Değişik ibare:RG-23/12/2022-32052) Kanunun 8 inci maddesinin birinci fıkrası uyarınca yeni iş almaktan men cezasına yol açan denetim işlerinde, ilgili idaresince bu i",değişiklik: 2022,P6_yil,ONAY_BEKLIYOR,P6_yil
189,TBDY,2.1.2,P2_sayisal,"TBDY 2018'e göre deprem Yer Hareketi Düzeyi-2 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-1 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemek",,P2_swap(1→2),ONAY_BEKLIYOR,P2_swap
190,YDUY,4,P2_sayisal,Yapı Denetimi Uygulama Yönetmeliği'ne göre eksikliklerin giderilmesinden sonra verilen iş bitirme tutanağı dört iş günü içinde onaylanır.,YANLIS,Eksikliklerin giderilmesinden sonra verilen iş bitirme tutanağı iki iş günü içinde onaylanır.,,P2_swap(iki→dört),ONAY_BEKLIYOR,P2_swap
193,ISGRISK,10,P1_dogrudan,İSG Risk Değerlendirmesi Yönetmeliği'nin 10. maddesine göre belirlenen risk için kontrol tedbirlerinin hayata geçirilmesinden sonra yeniden risk seviyesi tespiti yapılır.,DOGRU,Belirlenen risk için kontrol tedbirlerinin hayata geçirilmesinden sonra yeniden risk seviyesi tespiti yapılır.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
195,TBDY,17.9.3,P1_dogrudan,"TBDY 2018'in 17.9.3 numaralı bendine göre perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",DOGRU,"Perdeye kuvvetli doğrultuda her iki uçtan iki kirişin saplandığı durumda per, jF kuvveti, perdeye saplanan iki kirişe, kirişlerin kat planındaki uzunlukları ile orantılı olarak paylaştırılır.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
201,TBDY,15.2.4.2,P5_capraz,TBDY 2018'in 3.6.2.1 numaralı bendine göre donatı tespiti yapılan betonarme perde ve kolonlarda bulunan mevcut donatının minimum donatıya oranını ifade eden donatı gerçekleşme katsayısı belirlenecektir.,YANLIS,Donatı tespiti yapılan betonarme perde ve kolonlarda bulunan mevcut donatının minimum donatıya oranını ifade eden donatı gerçekleşme katsayısı belirlenecektir.,,P5_maddeshift(15.2.4.2→3.6.2.1),ONAY_BEKLIYOR,P5_maddeshift
203,TBDY,2.1.2,P2_sayisal,"TBDY 2018'e göre deprem Yer Hareketi Düzeyi-4 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir",,P2_swap(2→4),ONAY_BEKLIYOR,P2_swap
209,ISGRISK,5,P1_dogrudan,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz.",DOGRU,"Risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
211,TBDY,7.2.1.4,P2_sayisal,TBDY 2018'e göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 996- 1’de verilen şekilde kullanılacaktır.,YANLIS,C50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şe,,P2_swap(1992→996),ONAY_BEKLIYOR,P2_swap
213,TBDY,16.12.2.8,P1_dogrudan,"TBDY 2018'in 16.12.2.8 numaralı bendine göre topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir.",DOGRU,"Topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
215,YDUY,23,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre yapı kullanma izni belgesi tanzim edildiğinde ilgili idarece kuruluşa bilgi verilir.,DOGRU,Yapı kullanma izni belgesi tanzim edildiğinde ilgili idarece kuruluşa bilgi verilir.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
216,TBDY,7.11.3,P1_dogrudan,"TBDY 2018'in 7.11.3 numaralı bendine göre döşeme düzlemi içinde oluşan çekme gerilmesi değerinin ctdf ’den büyük olduğu durumda, düzlem içi çekme gerilmesi değeri, döşemenin eğilme dayanımı için gerekli olandan arta kalan donatı oranı ρ olmak üzere ydρf sınırını aşmayacaktır.",DOGRU,"Döşeme düzlemi içinde oluşan çekme gerilmesi değerinin ctdf ’den büyük olduğu durumda, düzlem içi çekme gerilmesi değeri, döşemenin eğilme dayanımı için gerekli olandan arta kalan donatı oranı ρ olmak üzere ydρf sınırını",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
217,YDUY,4,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 1. maddesine göre faaliyeti durdurulmuş inşaatta eksikliklerin giderilmesi durumunda, inşaatın devamına izin verilir.",YANLIS,"Faaliyeti durdurulmuş inşaatta eksikliklerin giderilmesi durumunda, inşaatın devamına izin verilir.",,P5_maddeshift(4→1),ONAY_BEKLIYOR,P5_maddeshift
218,ISGRISK,17,P1_dogrudan,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre işverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir.",DOGRU,"İşverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir.",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
219,YDUY,0,P3_anakronizm,Yapı Denetimi Uygulama Yönetmeliği 2017 yılında Resmî Gazete'de yayımlanmıştır.,YANLIS,yıl: 2008,,P3_yil,ONAY_BEKLIYOR,P3_yil
223,TBDY,17.4.2.2,P5_capraz,TBDY 2018'in 14.3.5 numaralı bendine göre uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,YANLIS,Uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,,P5_maddeshift(17.4.2.2→14.3.5),ONAY_BEKLIYOR,P5_maddeshift
224,YDUY,25,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 25. maddesinde 2013 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-5/2/2013-28550) Kanun ile öngörülen hizmet bedellerini karşılamak üzere, Bakanlıkça Defterdarlık Muhasebe Müdürlüğü ve Mal Müdürlüklerinde emanet hesapları açılır. Yapı denetim kuruluş",değişiklik: 2013,P6_yil,ONAY_BEKLIYOR,P6_yil
225,YDUY,32,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat farkı bu maddede belirlenen esaslar dâhilinde alınır.",DOGRU,"Yapı denetim kuruluşlarından vize aşamasında, daha önce alınan teminat bedelleri ile vizeye ilişkin evrakların eksiksiz sunulduğu tarih için sekizinci fıkra uyarınca güncellenen teminat bedeli arasında doğacak teminat fa",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
