id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum
121,YDUY,19,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre oyların eşitliği halinde, başkanın bulunduğu taraf çoğunlukta sayılır.",DOGRU,"Oyların eşitliği halinde, başkanın bulunduğu taraf çoğunlukta sayılır.",,P1_verbatim,ONAY_BEKLIYOR
122,TBDY,2.5.2.1,P1_dogrudan,TBDY 2018'in 2.5.2.1 numaralı bendine göre her iki yatay bileşenin ölçeklendirilmesi aynı ölçek katsayıları ile yapılacaktır.,DOGRU,Her iki yatay bileşenin ölçeklendirilmesi aynı ölçek katsayıları ile yapılacaktır.,,P1_madde_atifli,ONAY_BEKLIYOR
123,TBDY,7.2.1.4,P5_capraz,TBDY 2018'in 3.3.3 numaralı bendine göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şekilde kullanılacaktır.,YANLIS,C50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şe,,P5_maddeshift(7.2.1.4→3.3.3),ONAY_BEKLIYOR
124,TBDY,17.4.2.2,P1_dogrudan,TBDY 2018'e göre uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,DOGRU,Uzun kenarın kısa kenara oranı 2 olan dikdörtgen enkesitli kolonlarda bu oran en az 0.0025 olacaktır.,,P1_verbatim,ONAY_BEKLIYOR
125,4708,5,P1_dogrudan,"4708 sayılı Kanun'un 5. maddesine göre hizmet bedeli oranı, yapım süresi bir yılı aşan iş için yıllık %5 artırılır.",DOGRU,"Hizmet bedeli oranı, yapım süresi bir yılı aşan iş için yıllık %5 artırılır.",,P1_madde_atifli,ONAY_BEKLIYOR
126,TBDY,7.2.5.3,P1_dogrudan,TBDY 2018'in 7.2.5.3 numaralı bendine göre özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,DOGRU,Özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,,P1_madde_atifli,ONAY_BEKLIYOR
127,TBDY,6.2.3,P1_dogrudan,"TBDY 2018'e göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",DOGRU,"Mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",,P1_verbatim,ONAY_BEKLIYOR
128,TBDY,16.8.5.4,P1_dogrudan,"TBDY 2018'e göre çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",DOGRU,"Çekme durumunda ise, çekme kuvvetinin sadece donatı tarafından taşındığı varsayılacaktır.",,P1_verbatim,ONAY_BEKLIYOR
129,6331,25,P6_guncellik,6331 sayılı Kanun'un 25. maddesinde 2015 yılında değişiklik yapılmıştır.,DOGRU,"(1) İşyerindeki bina ve eklentilerde, çalışma yöntem ve şekillerinde veya iş ekipmanlarında çalışanlar için hayati tehlik eoluşturan bir husus tespit edildiğinde; bu tehlike giderilinceye kadar, hayat",değişiklik: 2015,P6_yil,ONAY_BEKLIYOR
130,YDUY,0,P4_uydurma,Yapı Denetimi Uygulama Yönetmeliği'ne göre ilgililer 'Mevzuat Uyum Plakası' belgesini her yıl yenilemek zorundadır.,YANLIS,uydurma belge şablonu,,P4_belge,ONAY_BEKLIYOR
131,3194,13,P6_guncellik,"3194 sayılı Kanun'un 13. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,(Başlığı ile Birlikte Değişik:4/7/2019-7181/7 md.) Özel hukuk kişilerinin mülkiyetinde olup uygulama imar planında düzenleme ortaklık payına konu kullanımlarda yer alan taşınmazlar;14 a) Bu kullanımla,değişiklik: 2024,P6_degismedi,ONAY_BEKLIYOR
132,TBDY,15.4.13,P1_dogrudan,"TBDY 2018'in 15.4.13 numaralı bendine göre betonarme elemanlarda kenetlenme veya bindirme boyunun yetersiz olması durumunda kesit kapasite momentinin hesabında ilgili donatının akma gerilmesi, kenetlenme veya bindirme boyundaki eksikliği oranında azaltılacaktır.",DOGRU,"Betonarme elemanlarda kenetlenme veya bindirme boyunun yetersiz olması durumunda kesit kapasite momentinin hesabında ilgili donatının akma gerilmesi, kenetlenme veya bindirme boyundaki eksikliği oranında azaltılacaktır.",,P1_madde_atifli,ONAY_BEKLIYOR
133,TBDY,17.2.4,P5_capraz,"TBDY 2018'in 7.2.1.3 numaralı bendine göre kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",YANLIS,"Kat planında binanın uzun kenarı en fazla 30 muzunluğunda, uzun kenarın kısa kenara oranı ise en fazla 4 olmalıdır.",,P5_maddeshift(17.2.4→7.2.1.3),ONAY_BEKLIYOR
134,YDUY,6,P5_capraz,6331 sayılı Kanun'a göre uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.,YANLIS,Uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.,,P5_lawshuffle(YDUY→6331),ONAY_BEKLIYOR
135,YDUY,11,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 11. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,(Değişik:RG-29/12/2018-30640) (4) (1) Yapı denetim kuruluşunun denetleyebileceği toplam yapı inşaat alanı 360.000 m 2 ’yi geçemez. (Değişik cümle:RG-12/6/2025-32924) Ancak yapı denetim kuruluşunun üze,değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
136,YDUY,12,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 12. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,(1) (Değişik:RG-8/7/2019-30825 Mükerrer) Yapı denetim kuruluşuna izin belgesi alabilmek için aşağıdaki şartlar sağlanır: a) Kuruluşun ödenmiş sermayesinin nama yazılı hisselerinin tamamı mimar veya in,değişiklik: 2023,P6_degismedi,ONAY_BEKLIYOR
137,3194,13,P6_guncellik,3194 sayılı Kanun'un 13. maddesinde 2024 yılında değişiklik yapılmıştır.,DOGRU,(Başlığı ile Birlikte Değişik:4/7/2019-7181/7 md.) Özel hukuk kişilerinin mülkiyetinde olup uygulama imar planında düzenleme ortaklık payına konu kullanımlarda yer alan taşınmazlar;14 a) Bu kullanımla,değişiklik: 2024,P6_yil,ONAY_BEKLIYOR
138,6331,8,P5_capraz,"6331 sayılı Kanun'un 6. maddesine göre bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi üç ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alınır.",YANLIS,"Bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi üç ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alı",,P5_maddeshift(8→6),ONAY_BEKLIYOR
139,YDUY,23,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 23. maddesine göre yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır.",DOGRU,"Yapı denetim kuruluşunca, iş bitirme tutanağının ilgili idareye verilmesini müteakiben, ilgili idare tarafından yapı, ruhsat ve ekleri açısından kontrol edilerek en geç on beş iş günü içinde iş bitirme tutanağı onaylanır",,P1_madde_atifli,ONAY_BEKLIYOR
140,TBDY,8.3.1.7,P5_capraz,TBDY 2018'in 16.7.3.2 numaralı bendine göre aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,YANLIS,Aşık-makas bağlantılarında elastomer yastık kullanımı zorunlu değildir.,,P5_maddeshift(8.3.1.7→16.7.3.2),ONAY_BEKLIYOR
141,3194,8,P6_guncellik,"3194 sayılı Kanun'un 8. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"Planların hazırlanmasında ve yürürlüğe konulmasında aşağıda belirtilen esaslara uyulur. a) Bölge planları; sosyo - ekonomik gelişme eğilimlerini, yerleşmelerin gelişme potansiyelini, sektörel hedefler",değişiklik: 2020,P6_degismedi,ONAY_BEKLIYOR
142,3194,39,P2_sayisal,3194 sayılı Kanun'a göre yapı sahibine bu şekilde tebligat yapılamaması hâlinde bu durum tebligat yapan idarenin internet sayfasında 60 gün süre ile ilan edilir ve tebligat varakası tebliğ yerine kaim olmak üzere tehlikeli yapıya asılır ve keyfiyet muhtarla birlikte bir zabıtla tespit edilir.,YANLIS,Yapı sahibine bu şekilde tebligat yapılamaması hâlinde bu durum tebligat yapan idarenin internet sayfasında 30 gün süre ile ilan edilir ve tebligat varakası tebliğ yerine kaim olmak üzere tehlikeli yapıya asılır ve keyfi,,P2_swap(30→60),ONAY_BEKLIYOR
143,YDUY,9,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir.",DOGRU,"Şantiye şefinin herhangi bir sebepten dolayı yapı ile ilişiğinin kesilmesi hâlinde, bu durum yapı müteahhidi tarafından, en geç üç iş günü içinde yapı denetim kuruluşuna bildirilir.",,P1_verbatim,ONAY_BEKLIYOR
144,TBDY,4.5.3.2,P2_sayisal,"TBDY 2018'e göre dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 12 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",YANLIS,"Dikdörtgen betonarme perdeler, kesitteki uzunluğunun kalınlığına oranı en az 6 (altı) olarak tanımlanan taşıyıcı sistem elemanlarıdır.",,P2_swap(6→12),ONAY_BEKLIYOR
145,6331,6,P1_dogrudan,"6331 sayılı Kanun'a göre tam süreli işyeri hekimi görevl endirilen işyerlerinde, diğer sağlık personeli görevlendirilmesi zorunlu değildir.",DOGRU,"Tam süreli işyeri hekimi görevl endirilen işyerlerinde, diğer sağlık personeli görevlendirilmesi zorunlu değildir.",,P1_verbatim,ONAY_BEKLIYOR
146,ISGRISK,0,P3_anakronizm,İş Sağlığı ve Güvenliği Risk Değerlendirmesi Yönetmeliği 2012 yılında Resmî Gazete'de yayımlanmıştır.,DOGRU,yıl: 2012,,P3_yil_dogru,ONAY_BEKLIYOR
147,6331,8,P6_guncellik,"6331 sayılı Kanun'un 8. maddesi, ilk yayımlandığı 2012 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) İşyeri hekimi ve iş güvenliği uzmanlarının hak ve yetkileri, görevlerini yerine getirmeleri nede niyle kı sıtlanamaz. Bu kişiler, görevlerini mesleğin gerektirdiği etik ilkeler ve mesleki bağımsız",değişiklik: 2015,P6_degismedi,ONAY_BEKLIYOR
148,TBDY,10.2.3.2,P2_sayisal,"TBDY 2018'e göre kopma birim uzama oranı minimum % 20 olan malzemeler normal sünek malzeme, kopma birim uzama oranı minimum %16 olan malzemeler yüksek sünek malzeme olarak adlandırılırlar.",YANLIS,"Kopma birim uzama oranı minimum % 10 olan malzemeler normal sünek malzeme, kopma birim uzama oranı minimum %16 olan malzemeler yüksek sünek malzeme olarak adlandırılırlar.",,P2_swap(10→20),ONAY_BEKLIYOR
149,3194,42,P6_guncellik,3194 sayılı Kanun'un 42. maddesinde 2026 yılında değişiklik yapılmıştır.,DOGRU,(Değişik: 9/12/2009-5940/2 md.) Bu maddede belirtilen ve imar mevzuatına aykırılık teşkil eden fiil ve hallerin tespit edildiği tarihten itibaren on iş günü içinde ilgili idare encümenince sorumlular ,değişiklik: 2026,P6_yil,ONAY_BEKLIYOR
150,3194,18,P6_guncellik,"3194 sayılı Kanun'un 18. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"İmar hududu içinde bulunan binalı veya binasız arsa ve arazileri malikleri veya diğer hak sahiplerinin muvafakatı aranmaksızın, birbirleri ile, yol fazlaları ile, kamu kurumlarına veya belediyelere ai",değişiklik: 2024,P6_degismedi,ONAY_BEKLIYOR
151,3194,28,P1_dogrudan,"3194 sayılı Kanun'a göre fenni mesuller, Bakanlık tarafından çıkarılan yönetmelikte belirlenen sınıf, özellik ve büyüklüğe sahip bulunan yapıların denetimi faaliyetine yardımcı olmak üzere, 38 inci maddeye göre uygun nitelikte ve sayıda fen adamı istihdam etmek mecburiyetindedir.",DOGRU,"Fenni mesuller, Bakanlık tarafından çıkarılan yönetmelikte belirlenen sınıf, özellik ve büyüklüğe sahip bulunan yapıların denetimi faaliyetine yardımcı olmak üzere, 38 inci maddeye göre uygun nitelikte ve sayıda fen adam",,P1_verbatim,ONAY_BEKLIYOR
152,ISGRISK,12,P1_dogrudan,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre yapılmış olan risk değerlendirmesi; tehlike sınıfına göre çok tehlikeli, tehlikeli ve az tehlikeli işyerlerinde sırasıyla en geç iki, dört ve altı yılda bir yenilenir.",DOGRU,"Yapılmış olan risk değerlendirmesi; tehlike sınıfına göre çok tehlikeli, tehlikeli ve az tehlikeli işyerlerinde sırasıyla en geç iki, dört ve altı yılda bir yenilenir.",,P1_verbatim,ONAY_BEKLIYOR
153,YDUY,32,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 32. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,"(Ek:RG-22/8/2015-29453) (1) (Değişik ibare:RG-12/6/2025-32924) Bakanlıkça; a) Yapı denetim kuruluşlarından 385.079,10 Türk Lirası tutarında teminat alınır. b) İzin belgesi almak için müracaatta buluna",değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
154,3194,10,P5_capraz,"6331 sayılı Kanun'a göre belediyeler; imar planlarının yürürlüğe girmesinden en geç 3 ay içinde, bu planı tatbik etmek üzere 5 yıllık imar programlarını hazırlarlar.",YANLIS,"Belediyeler; imar planlarının yürürlüğe girmesinden en geç 3 ay içinde, bu planı tatbik etmek üzere 5 yıllık imar programlarını hazırlarlar.",,P5_lawshuffle(3194→6331),ONAY_BEKLIYOR
155,3194,33,P1_dogrudan,3194 sayılı Kanun'un 33. maddesine göre muvakkatlık müddeti tapu kaydına şerh verildiği günden başlar.,DOGRU,Muvakkatlık müddeti tapu kaydına şerh verildiği günden başlar.,,P1_madde_atifli,ONAY_BEKLIYOR
156,3194,4,P6_guncellik,"3194 sayılı Kanun'un 4. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"2634 sayılı Turizmi Teşvik Kanunu, 2863 sayılı Kültür ve Tabiat Varlıklarını Koruma Kanunu, bu Kanunun ilgili maddelerine uyulmak kaydı ile 2960 sayılı İstanbul Boğaziçi Kanunu ve 3030 sayılı Büyük Şe",değişiklik: 2016,P6_degismedi,ONAY_BEKLIYOR
157,YDUY,16,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 16. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-23/12/2022-32052) (6) Yapı denetim kuruluşu; a) Bir proje ve uygulama denetçisi mimarı (Şantiye mahallinde de yapının denetimini yürütebilecek), b) Bir proje ve uygulama denetçisi inşa",değişiklik: 2022,P6_yil,ONAY_BEKLIYOR
158,4708,3,P6_guncellik,4708 sayılı Kanun'un 3. maddesinde 2018 yılında değişiklik yapılmıştır.,DOGRU,"Bu Kanunun uygulanmasında, yapı denetim kuruluşları imar mevzuatı uyarınca öngörülen fennî mesuliyeti ilgili idareye karşı üstlenir. (Ek cümle: 15/2/2018 -7099/15 md.) Yapı denetim kuruluşları öncelik",değişiklik: 2018,P6_yil,ONAY_BEKLIYOR
159,TBDY,2.1.2,P2_sayisal,"TBDY 2018'e göre deprem Yer Hareketi Düzeyi-6 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",YANLIS,"Deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",,P2_swap(3→6),ONAY_BEKLIYOR
160,6331,25,P5_capraz,"6331 sayılı Kanun'un 3. maddesine göre işverenin işin durdurulmasını gerektiren hususların giderildiğini Bakanlığa yaz ılı olarak bildirmesi hâlinde, en geç yedi gün içinde işyerinde inceleme yapılarak işverenin talebi sonuçlandırılır.",YANLIS,"İşverenin işin durdurulmasını gerektiren hususların giderildiğini Bakanlığa yaz ılı olarak bildirmesi hâlinde, en geç yedi gün içinde işyerinde inceleme yapılarak işverenin talebi sonuçlandırılır.",,P5_maddeshift(25→3),ONAY_BEKLIYOR
161,TBDY,7.6.3.3,P1_dogrudan,"TBDY 2018'in 7.6.3.3 numaralı bendine göre uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",DOGRU,"Uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",,P1_madde_atifli,ONAY_BEKLIYOR
162,YDUY,31,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 31. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,(Değişik:RG-23/6/2021-31520) (1) Bakanlıkça belirlenen yapılardan iş bitirme aşamasına gelenler için (Değişik ibare:RG-12/2/2022-31748) yapı müteahhidince Bakanlıktan temin edilen Ek-28’de gösterilen ,değişiklik: 2022,P6_yil,ONAY_BEKLIYOR
163,6331,17,P1_dogrudan,"6331 sayılı Kanun'a göre tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işyerlerinden çalışmak üzere gelen çalışanlar işe başlatılamaz.",DOGRU,"Tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işye",,P1_verbatim,ONAY_BEKLIYOR
164,TBDY,9.2.8.1,P5_capraz,"TBDY 2018'in 5.4 numaralı bendine göre betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir.",YANLIS,"Betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir.",,P5_maddeshift(9.2.8.1→5.4),ONAY_BEKLIYOR
165,4708,0,P4_uydurma,4708 sayılı Kanun'a göre ilgililer 'Dijital Şantiye Kayıt Sertifikası' belgesini her ay ilgili idareye ibraz etmek zorundadır.,YANLIS,uydurma belge şablonu,,P4_belge,ONAY_BEKLIYOR
166,4708,4,P6_guncellik,"4708 sayılı Kanun'un 4. maddesi, ilk yayımlandığı 2001 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(Değişik: 8/8/2011-KHK-648/ 26 md.) Bu Kanunun uygulanması ile ilgili Bakanlık iş ve işlemlerinin yürütülmesini sağlamak üzere, Bakanlık merkezinde Merkez Yapı Denetim Komisyonu ve illerde İl Yapı Den",değişiklik: 2011,P6_degismedi,ONAY_BEKLIYOR
167,TBDY,8.3.1.6,P5_capraz,TBDY 2018'in 4.3.4.5 numaralı bendine göre aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,YANLIS,Aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,,P5_maddeshift(8.3.1.6→4.3.4.5),ONAY_BEKLIYOR
168,3194,29,P5_capraz,3194 sayılı Kanun'un 1. maddesine göre yapıya başlama müddeti ruhsat tarihinden itibaren iki yıldır.,YANLIS,Yapıya başlama müddeti ruhsat tarihinden itibaren iki yıldır.,,P5_maddeshift(29→1),ONAY_BEKLIYOR
169,6331,3,P6_guncellik,"6331 sayılı Kanun'un 3. maddesi, ilk yayımlandığı 2012 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Bu Kanunun uygulanmasında; a) Bakanlık: Çalışma ve Sosyal Güvenlik Bakanlığını, b) Çalışan: Kendi özel kanunlarındaki statülerine bakılmaksızın kamu veya özel işyerlerinde istihdam edilen gerçek k",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR
170,YDUY,9,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 9. maddesinde 2020 yılında değişiklik yapılmıştır.,DOGRU,"(1) (Değişik:RG-5/2/2013-28550) Her türlü yapı inşası işinin Bakanlıkça yetki belgesi verilmiş gerçek veya tüzel kişiler tarafından üstlenilmesi mecburidir. Yapı müteahhidi, şahsen sahip olduğu teknik",değişiklik: 2020,P6_yil,ONAY_BEKLIYOR
171,6331,25,P1_dogrudan,6331 sayılı Kanun'a göre mahkeme itirazı öncelikle görüşür ve altı iş günü içinde karara bağlar.,DOGRU,Mahkeme itirazı öncelikle görüşür ve altı iş günü içinde karara bağlar.,,P1_verbatim,ONAY_BEKLIYOR
172,TBDY,8.3.1.6,P1_dogrudan,TBDY 2018'in 8.3.1.6 numaralı bendine göre aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,DOGRU,Aşık-makas bağlantıları dışındaki tüm pimli bağlantıların çimento harcı ile doldurulması ve serbest uçlarının pul ve somun ile bitirilmesi zorunludur.,,P1_madde_atifli,ONAY_BEKLIYOR
173,YDUY,12,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'nin 17. maddesine göre yapı denetim kuruluşunun faaliyet göstereceği ilde en az 100 m2 alana sahip tam donanımlı bir ofisinin bulunması zorunludur.,YANLIS,Yapı denetim kuruluşunun faaliyet göstereceği ilde en az 100 m2 alana sahip tam donanımlı bir ofisinin bulunması zorunludur.,,P5_maddeshift(12→17),ONAY_BEKLIYOR
174,YDUY,0,P3_anakronizm,Yapı Denetimi Uygulama Yönetmeliği 2003 yılında Resmî Gazete'de yayımlanmıştır.,YANLIS,yıl: 2008,,P3_yil,ONAY_BEKLIYOR
175,6331,0,P3_anakronizm,6331 sayılı İş Sağlığı ve Güvenliği Kanunu 2012 yılında kabul edilmiştir.,DOGRU,yıl: 2012,,P3_yil_dogru,ONAY_BEKLIYOR
176,YDUY,1,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 1. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(Değişik:RG-11/12/2020-31331) (1) Bu Yönetmeliğin amacı, 29/6/2001 tarihli ve 4708 sayılı Yapı Denetimi Hakkında Kanuna göre faaliyet gösteren Merkez ve İl Yapı Denetim Komisyonlarının, yapı denetim k",değişiklik: 2020,P6_degismedi,ONAY_BEKLIYOR
177,YDUY,27,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 27. maddesinde 2018 yılında değişiklik yapılmıştır.,DOGRU,"(1) Toplam inşaat alanı (Değişik ibare:RG-29/12/2018-30640) (4) üç bin m2’yi (dâhil) geçmeyen yapıların denetim hizmeti bedelinin, yapı sahibi tarafından yapı denetim hesabına defaten yatırılması esas",değişiklik: 2018,P6_yil,ONAY_BEKLIYOR
178,YDUY,12,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesine göre izin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında haklarında Bakanlıkça gerekli işlemler yürütülür.",YANLIS,"İzin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında h",,P5_maddeshift(12→19),ONAY_BEKLIYOR
179,6331,2,P6_guncellik,6331 sayılı Kanun'un 2. maddesinde 2014 yılında değişiklik yapılmıştır.,DOGRU,"(1) Bu Kanun; kamu ve özel sektöre ait bütün işlere ve işyerlerine, bu işyerlerinin işverenleri ile işveren vekillerine, çırak ve stajyerler de dâhil olmak üzere tüm çalışanlarına faaliyet konularına ",değişiklik: 2014,P6_yil,ONAY_BEKLIYOR
180,4708,5,P6_guncellik,4708 sayılı Kanun'un 5. maddesinde 2024 yılında değişiklik yapılmıştır.,DOGRU,"(Değişik birinci fıkra :5/12/2024-7534/12 md.) Yapı denetim hizmet sözleşmesi bedeline esas inşaat alanı 500 metrekareye kadar olan yapılarda yapı sahibince belirlenen yapı denetim kuruluşuyla, diğer ",değişiklik: 2024,P6_yil,ONAY_BEKLIYOR
181,6331,25,P1_dogrudan,"6331 sayılı Kanun'un 25. maddesine göre iş sağlığı ve güvenliği bakımından teftişe yetkili üç iş müfettişinden oluşan heyet, iş sağlığı ve güvenliği bakımından teftişe yetkili iş müfettişinin tespiti üzerine gerekli incelemeleri yaparak, tespit tarihinden itibaren iki gün içerisinde işin durdurulmasına karar verebilir.",DOGRU,"İş sağlığı ve güvenliği bakımından teftişe yetkili üç iş müfettişinden oluşan heyet, iş sağlığı ve güvenliği bakımından teftişe yetkili iş müfettişinin tespiti üzerine gerekli incelemeleri yaparak, tespit tarihinden itib",,P1_madde_atifli,ONAY_BEKLIYOR
182,TBDY,7.2.5.3,P5_capraz,TBDY 2018'in 4.8.5.2 numaralı bendine göre özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,YANLIS,Özel amaçlarla kullanım için beton basınç dayanımının 28 günden farklı yaşlarda tayin edilmesine ihtiyaç duyulması halinde TS EN 206 esas alınacaktır.,,P5_maddeshift(7.2.5.3→4.8.5.2),ONAY_BEKLIYOR
