oncelik,id,kanun,madde,probe,gold,agirlikli_karsi_pay,oy_sayisi,karsi_modeller,iddia,kaynak_alinti
55,362,TBDY,16.6.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 17.6.3 numaralı bendine göre zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel kayma mukavemeti ve rijitliğindeki önemli oranda azalış olarak tanımlanacaktır.","Zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel "
56,365,YDUY,14,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",Yapı Denetimi Uygulama Yönetmeliği'ne göre mesleğinde fiilen en az üç yıl çalıştığına ilişkin olarak ilgili kurum ve kuruluşlardan alınacak belgeler.,Mesleğinde fiilen en az beş yıl çalıştığına ilişkin olarak ilgili kurum ve kuruluşlardan alınacak belgeler.
57,367,3194,36,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","4708 sayılı Kanun'a göre kapıcı dairesi ve sığınak ayrılması mecburiyeti olan binalarda, bu dairelerin yönetmelikte belirtilen şart ve ölçüleri havi bulunması lazımdır.","Kapıcı dairesi ve sığınak ayrılması mecburiyeti olan binalarda, bu dairelerin yönetmelikte belirtilen şart ve ölçüleri havi bulunması lazımdır."
58,375,YDUY,4,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 8. maddesine göre inşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on beş iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı olarak bildirilir.","İnşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on beş iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı ola"
59,376,3194,39,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",3194 sayılı Kanun'un 39. maddesine göre malik dışında binada ikamet amacıyla oturanlara da ayrıca tahliye için tebligat yapılır.,Malik dışında binada ikamet amacıyla oturanlara da ayrıca tahliye için tebligat yapılır.
60,384,4708,1,P6_guncellik,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",4708 sayılı Kanun'un 1. maddesinde 2026 yılında değişiklik yapılmıştır.,"Bu Kanunun amacı; can ve mal güvenliğini teminen, imar plânına, fen, sanat ve sağlık kurallarına, standartlara uygun kaliteli yapı yapılması için proje ve yapı denetimini sağlamak ve yapı denetimine i"
61,405,3194,8,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","3194 sayılı Kanun'un 8. maddesine göre itirazlar valiliğe yapılır, valilik itirazları ve planları onbeş gün içerisinde inceleyerek kesin karara bağlar.","İtirazlar valiliğe yapılır, valilik itirazları ve planları onbeş gün içerisinde inceleyerek kesin karara bağlar."
62,409,TBDY,5.7,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 6 vida adımı ilerlemesi sağlanacaktır.,Panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.
63,417,3194,23,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",3194 sayılı Kanun'a göre alınan bu paralar teknik altyapıyı yaptıranlara veya bu meblağı önceden ilgili idareye ödeyenlere aynen geri verilir.,Alınan bu paralar teknik altyapıyı yaptıranlara veya bu meblağı önceden ilgili idareye ödeyenlere aynen geri verilir.
64,419,6331,17,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","İSG Risk Değerlendirmesi Yönetmeliği'ne göre tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işyerlerinden çalışmak üzere gelen çalışanlar işe başlatılamaz.","Tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işye"
65,420,TBDY,7.2.7.1,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 9.6.3.1 numaralı bendine göre boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.,Boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.
66,423,4708,0,P3_anakronizm,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",4708 sayılı Yapı Denetimi Hakkında Kanun 2001 yılında kabul edilmiştir.,yıl: 2001
67,427,3194,32,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","3194 sayılı Kanun'un 20. maddesine göre yapının imar mevzuatına aykırı olduğuna dair bilgi, tapu kayıtlarının beyanlar hanesine kaydedilmek üzere ilgili idaresince tapu dairesine en geç yedi gün içinde yazılı olarak bildirilir.","Yapının imar mevzuatına aykırı olduğuna dair bilgi, tapu kayıtlarının beyanlar hanesine kaydedilmek üzere ilgili idaresince tapu dairesine en geç yedi gün içinde yazılı olarak bildirilir."
68,435,6331,8,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'a göre bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi beş ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alınır.","Bildirim yapmadığı tespit edilen işyeri hekimi ve iş güvenliği uzmanının belgesi üç ay, tekrarında ise altı ay süreyle ; ortak sağlık ve güvenlik biriminin yetki belgesi altı ay, tekrarında ise bir yıl süreyle askıya alı"
69,439,TBDY,7.13.2.1,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 4.3.3 numaralı bendine göre kolon yerleşim planlarında, düşey donatıların enkesit içindeki konum, çap ve sayıları ayrıntılı olarak gösterilecektir.","Kolon yerleşim planlarında, düşey donatıların enkesit içindeki konum, çap ve sayıları ayrıntılı olarak gösterilecektir."
70,443,3194,0,P3_anakronizm,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",3194 sayılı İmar Kanunu 1985 yılında kabul edilmiştir.,yıl: 1985
71,453,TBDY,0,P4_uydurma,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre her yeni binada 'Deprem Kimlik Plakası' bulundurulması zorunludur.,uydurma TBDY şartı
72,472,TBDY,9.2.8.1,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 9.2.8.1 numaralı bendine göre betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir.","Betonarme döşemelerin çelik kirişler ile kompozit olarak çalıştığı çelik taşıyıcı sistemlerde, kirişlerin betonarme döşemeye bağlanan başlıklarında, bu koşula uyulması zorunlu değildir."
73,475,TBDY,4.3.4.2,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre birbirine dik doğrultularda taşıyıcı sistemlerin süneklik düzeyleri ’nin aynı olması zorunludur.,Birbirine dik doğrultularda taşıyıcı sistemlerin süneklik düzeyleri ’nin aynı olması zorunludur.
